1	162.73
2	160.81
3	161.62
4	160.93
5	161.97
6	164.57
7	164.64
8	158.97
9	162.95
10	158.99
11	164.67
12	161.46
13	159.05
14	162.70
15	164.90
16	163.00
17	161.35
18	164.30
19	161.08
20	161.31
21	160.92
22	158.87
23	162.10
24	160.56
25	159.95
26	160.95
27	162.48
28	162.20
29	160.13
30	165.89
31	163.00
32	165.00
33	162.98
34	160.71
35	159.67
36	162.98
37	162.92
38	163.47
39	159.23
40	160.07
41	159.70
42	161.87
43	161.94
44	164.03
45	163.61
46	160.98
47	164.33
48	163.57
49	162.95
50	163.96
